job_title,ai_impact,task_count,ai_model,ai_workload_ratio,domain_area
Educational Diagnostician,30%,132,906,0.1456953642,Communication & PR
English Tutor,30%,148,1156,0.1280276817,Data & IT
Esl Tutor,30%,145,1137,0.127528584,Administrative & Clerical
Instructional Aide,30%,137,1050,0.1304761905,Leadership & Strategy
Instructional Assistant,30%,138,1054,0.1309297913,Medical & Healthcare
Librarian,30%,200,1648,0.1213592233,Supply Chain & Logistics
Medical Instructor,30%,142,1001,0.1418581419,Law Enforcement
Online English Teacher,30%,164,1119,0.1465594281,Construction
Paraeducator,30%,122,873,0.1397479954,Sales & Marketing
Reference Librarian,30%,147,1081,0.1359851989,Hospitality
Special Education Aide,30%,122,807,0.1511771995,Communication & PR
Special Education Assistant,30%,121,806,0.1501240695,Data & IT
Special Education Paraprofessional,30%,121,806,0.1501240695,Administrative & Clerical
Archivist,30%,153,1021,0.1498530852,Leadership & Strategy
Arts Manager,30%,225,1848,0.1217532468,Medical & Healthcare
Cinematographer,30%,216,1549,0.1394448031,Supply Chain & Logistics
Civil Designer,30%,174,1333,0.1305326332,Law Enforcement
Creative Designer,30%,284,2215,0.1282167043,Construction
Creative Strategist,30%,297,2272,0.130721831,Sales & Marketing
Curatorial Assistant,30%,142,936,0.1517094017,Hospitality
Film Producer,30%,244,2010,0.1213930348,Communication & PR
Game Tester,30%,210,1769,0.1187111362,Data & IT
Motion Graphics Designer,30%,236,1764,0.1337868481,Administrative & Clerical
Photo Editor,30%,281,1883,0.1492299522,Leadership & Strategy
Retoucher,30%,194,1715,0.1131195335,Medical & Healthcare
Technical Artist,30%,321,2409,0.1332503113,Supply Chain & Logistics
Technical Illustrator,30%,311,2250,0.1382222222,Law Enforcement
Vfx Artist,30%,240,1836,0.1307189542,Construction
Video Editor,30%,282,2061,0.1368267831,Sales & Marketing
Visual Information Specialist,30%,251,1943,0.1291816778,Hospitality
Anesthesiologist,30%,106,641,0.1653666147,Communication & PR
Assisted Living Administrator,30%,121,663,0.1825037707,Data & IT
Biomedical Equipment Technician,30%,132,748,0.1764705882,Administrative & Clerical
Cardiologist,30%,140,982,0.1425661914,Leadership & Strategy
Cardiology Nurse Practitioner,30%,87,616,0.1412337662,Medical & Healthcare
Cardiothoracic Surgeon,30%,79,530,0.1490566038,Supply Chain & Logistics
Certified Dental Assistant,30%,107,676,0.1582840237,Law Enforcement
Certified Ophthalmic Assistant,30%,108,684,0.1578947368,Construction
Ct Technologist,30%,118,681,0.1732745962,Sales & Marketing
Cytotechnologist,30%,111,744,0.1491935484,Hospitality
Diagnostic Medical Sonographer,30%,120,692,0.1734104046,Communication & PR
Echocardiographer,30%,120,687,0.1746724891,Data & IT
Eeg Technician,30%,111,669,0.1659192825,Administrative & Clerical
Ekg Technician,30%,111,668,0.1661676647,Leadership & Strategy
Endoscopy Technician,30%,118,687,0.1717612809,Medical & Healthcare
Genetic Counselor,30%,111,1099,0.1010009099,Supply Chain & Logistics
Health Specialist,30%,138,844,0.163507109,Law Enforcement
Histologist,30%,113,1142,0.09894921191,Construction
Histology Technician,30%,113,1143,0.09886264217,Sales & Marketing
Histotechnologist,30%,109,1080,0.1009259259,Hospitality
Laboratory Technologist,30%,115,1125,0.1022222222,Communication & PR
Laser Technician,30%,132,1242,0.1062801932,Data & IT
Mammographer,30%,109,1059,0.1029272899,Administrative & Clerical
Mammography Technologist,30%,112,1067,0.1049671978,Leadership & Strategy
Medical Dosimetrist,30%,116,670,0.1731343284,Medical & Healthcare
Medication Technician,30%,102,517,0.1972920696,Supply Chain & Logistics
Brand Director,30%,264,1671,0.157989228,Law Enforcement
Business Unit Manager,30%,236,1437,0.1642310369,Construction
Psychiatric Nurse,30%,116,711,0.1631504923,Sales & Marketing
Materials Manager,30%,228,1373,0.1660597232,Hospitality
Manufacturing Engineer,30%,224,1371,0.163384391,Communication & PR
Outside Machinist,30%,102,664,0.1536144578,Data & IT
Procurement Officer,30%,234,1481,0.1580013504,Administrative & Clerical
Senior Manufacturing Engineer,30%,214,1348,0.1587537092,Leadership & Strategy
Stockroom Associate,30%,175,1239,0.1412429379,Medical & Healthcare
Benefits Analyst,30%,249,1443,0.1725571726,Supply Chain & Logistics
Cyber Security Specialist,30%,273,1602,0.170411985,Law Enforcement
Information Security Specialist,30%,277,1645,0.1683890578,Construction
Transportation Coordinator,30%,202,1350,0.1496296296,Sales & Marketing
Assistant Hotel Manager,30%,222,1383,0.1605206074,Hospitality
Executive Sous Chef,30%,140,815,0.1717791411,Communication & PR
Director Of Rehabilitation,30%,146,886,0.164785553,Data & IT
Chairman,30%,181,1203,0.1504571904,Administrative & Clerical
Hotel Sales Manager,30%,233,1492,0.1561662198,Leadership & Strategy
Community Health Nurse,30%,124,718,0.1727019499,Medical & Healthcare
Service Coordinator,30%,227,1473,0.1541072641,Supply Chain & Logistics
Warehouse Administrator,30%,226,1341,0.1685309471,Law Enforcement
Fitter,30%,98,690,0.1420289855,Construction
Landscape Manager,30%,185,1249,0.1481184948,Sales & Marketing
Insurance Consultant,30%,229,1408,0.1626420455,Hospitality
Floor Manager,30%,194,1229,0.1578519121,Communication & PR
Computer Repair Technician,30%,188,1420,0.1323943662,Data & IT
Information Security Consultant,30%,279,1621,0.1721159778,Administrative & Clerical
Insurance Coordinator,30%,237,1397,0.1696492484,Leadership & Strategy
Compliance Specialist,30%,235,1366,0.1720351391,Medical & Healthcare
Management Engineer,30%,259,1854,0.1396979504,Supply Chain & Logistics
Process Improvement Manager,30%,736,1896,0.388185654,Law Enforcement
Recruiting Manager,30%,903,2361,0.3824650572,Construction
Revenue Cycle Manager,30%,548,1549,0.3537766301,Sales & Marketing
Salon Manager,30%,470,1263,0.3721298496,Hospitality
Security Analyst,30%,729,1817,0.401210787,Communication & PR
Strategy Analyst,30%,784,1928,0.4066390041,Data & IT
Car Sales,30%,221,1515,0.1458745875,Administrative & Clerical
Client Success Manager,30%,286,1824,0.1567982456,Leadership & Strategy
Director Of Sales,30%,255,1665,0.1531531532,Medical & Healthcare
District Sales Manager,30%,247,1635,0.1510703364,Supply Chain & Logistics
External Wholesaler,30%,278,1997,0.1392088132,Law Enforcement
Finance Manager,30%,306,1997,0.1532298448,Construction
National Sales Director,30%,707,2002,0.3531468531,Sales & Marketing
National Sales Manager,29%,703,1989,0.3534439417,Hospitality
Sales Operations Manager,29%,702,1800,0.39,Communication & PR
Sales Trainer,29%,682,1686,0.4045077106,Data & IT
Senior Merchandiser,29%,616,1598,0.3854818523,Administrative & Clerical
Technical Sales Engineer,28%,736,2103,0.3499762244,Leadership & Strategy
Flight Nurse,28%,177,1511,0.1171409662,Medical & Healthcare
Assistant Manager,28%,246,1611,0.1527001862,Supply Chain & Logistics
Cannabis,28%,157,1234,0.1272285251,Law Enforcement
Coordinator,28%,265,1694,0.1564344746,Construction
Hvac Installer,28%,206,1696,0.1214622642,Sales & Marketing
Pest Control Technician,28%,214,816,0.262254902,Hospitality
Aerospace Technician,28%,142,1173,0.1210571185,Communication & PR
Automotive Engineer,28%,193,1544,0.125,Data & IT
Bridge Engineer,28%,183,1517,0.1206328279,Administrative & Clerical
Build Engineer,28%,189,1523,0.1240971766,Leadership & Strategy
Chemical Process Engineer,28%,191,1637,0.1166768479,Medical & Healthcare
Consulting Engineer,28%,208,1679,0.1238832638,Supply Chain & Logistics
Deployment Engineer,28%,203,1683,0.1206179441,Law Enforcement
Drilling Engineer,28%,180,1458,0.1234567901,Construction
Entry Level Electrical Engineer,28%,186,1491,0.1247484909,Sales & Marketing
Facilities Engineer,28%,253,1778,0.1422947132,Hospitality
Facility Engineer,28%,254,1788,0.1420581655,Communication & PR
Field Engineer,28%,257,1801,0.1426985008,Data & IT
Hydraulic Engineer,28%,219,1700,0.1288235294,Administrative & Clerical
Industrial Engineer,27%,246,1722,0.1428571429,Leadership & Strategy
Infrastructure Engineer,27%,242,1744,0.1387614679,Medical & Healthcare
Parking Attendant,26%,191,694,0.2752161383,Supply Chain & Logistics
Parking Lot Attendant,26%,189,700,0.27,Law Enforcement
Restaurant Worker,26%,356,1071,0.3323996265,Construction
Sous Chef,25%,293,966,0.3033126294,Sales & Marketing
Team Member,25%,407,1132,0.359540636,Hospitality
Wine Consultant,25%,323,1073,0.3010251631,Communication & PR
Hairstylist,25%,127,992,0.1280241935,Data & IT
Home Care Aide,25%,154,1106,0.1392405063,Administrative & Clerical
Midwife,25%,327,1006,0.3250497018,Leadership & Strategy
Personal Care Assistant,25%,382,1125,0.3395555556,Medical & Healthcare
Provider,25%,386,1100,0.3509090909,Supply Chain & Logistics
Recreation Leader,25%,600,1484,0.4043126685,Law Enforcement
Shopper,25%,366,1162,0.3149741824,Construction
Youth Advocate,25%,434,1230,0.3528455285,Sales & Marketing
Youth Coordinator,25%,237,1485,0.1595959596,Hospitality
Youth Specialist,25%,229,1458,0.1570644719,Communication & PR
Combat Engineer,25%,72,569,0.1265377856,Data & IT
Fire Marshal,25%,200,1658,0.1206272618,Administrative & Clerical
Hospital Security Officer,25%,171,1185,0.1443037975,Leadership & Strategy
Safety Officer,25%,463,1279,0.3620015637,Medical & Healthcare
Security Agent,25%,294,937,0.3137673426,Supply Chain & Logistics
Traffic Coordinator,25%,610,1701,0.3586125808,Law Enforcement
Change Manager,25%,241,1573,0.1532104259,Construction
Desktop Engineer,25%,214,1711,0.1250730567,Sales & Marketing
Desktop Support Analyst,25%,247,1585,0.1558359621,Hospitality
Enterprise Architect,25%,242,1885,0.1283819629,Communication & PR
Exchange Administrator,25%,260,1835,0.1416893733,Data & IT
Gis Manager,25%,264,1844,0.1431670282,Administrative & Clerical
Instructional Technology Specialist,25%,288,1982,0.1453077699,Leadership & Strategy
Noc Technician,25%,460,1277,0.3602192639,Medical & Healthcare
Support Analyst,25%,805,2322,0.3466838932,Supply Chain & Logistics
Technical Analyst,25%,836,2289,0.3652249891,Law Enforcement
Technical Trainer,25%,867,2423,0.3578208832,Construction
Family Therapist,25%,221,1724,0.1281902552,Sales & Marketing
Health Psychologist,25%,211,1626,0.1297662977,Hospitality
Peer Counselor,25%,529,1380,0.3833333333,Communication & PR
Residence Counselor,25%,505,1348,0.3746290801,Data & IT
Substance Abuse Counselor,25%,374,1046,0.3575525813,Administrative & Clerical
Mri Technician,25%,329,1062,0.3097928437,Leadership & Strategy
Mri Technologist,25%,330,1065,0.3098591549,Medical & Healthcare
Nuclear Medicine Technologist,25%,321,1071,0.299719888,Supply Chain & Logistics
Operating Room Assistant,25%,306,1037,0.2950819672,Law Enforcement
Pathologist Assistant,25%,307,1020,0.3009803922,Construction
Patient Coordinator,25%,524,1538,0.3407022107,Sales & Marketing
Perfusionist,25%,293,981,0.2986748216,Hospitality
Pharmacy Assistant,25%,324,1008,0.3214285714,Communication & PR
Physical Therapist Assistant,25%,266,977,0.2722620266,Data & IT
Radiology,25%,366,1444,0.2534626039,Administrative & Clerical
Vaccinator,25%,163,543,0.3001841621,Leadership & Strategy
Aircraft Inspector,25%,103,999,0.1031031031,Medical & Healthcare
Audio Visual Technician,25%,172,1241,0.1385979049,Supply Chain & Logistics
Auto Body Painter,25%,94,883,0.1064552661,Law Enforcement
Automotive Service Manager,25%,133,1044,0.127394636,Construction
Cabinet Installer,25%,80,575,0.1391304348,Sales & Marketing
Cabinet Maker,25%,79,874,0.09038901602,Hospitality
Crew Scheduler,25%,175,1333,0.1312828207,Communication & PR
Driller,25%,62,496,0.125,Data & IT
Finish Carpenter,25%,172,1538,0.1118335501,Administrative & Clerical
Form Carpenter,25%,176,1574,0.1118170267,Leadership & Strategy
Hvac Apprentice,25%,188,1582,0.1188369153,Medical & Healthcare
Hvac Helper,25%,189,1606,0.1176836862,Supply Chain & Logistics
Installer,25%,212,1740,0.1218390805,Law Enforcement
Lab Technician,25%,233,1706,0.1365767878,Construction
Lube Technician,25%,159,1348,0.1179525223,Sales & Marketing
Machine Builder,25%,188,1529,0.1229561805,Hospitality
Maintenance Specialist,25%,198,1563,0.1266794626,Communication & PR
Maintenance Technician,25%,198,1563,0.1266794626,Data & IT
Paint Mixer,25%,254,1269,0.2001576044,Administrative & Clerical
Pipeline Technician,25%,310,1049,0.2955195424,Leadership & Strategy
Printer Technician,25%,342,1417,0.2413549753,Medical & Healthcare
Refrigeration Technician,25%,307,1052,0.2918250951,Supply Chain & Logistics
Relay Technician,25%,334,1112,0.3003597122,Law Enforcement
Small Engine Mechanic,25%,222,782,0.283887468,Construction
Support Worker,25%,430,1274,0.3375196232,Sales & Marketing
Tire Technician,25%,212,799,0.2653316646,Hospitality
Tool Crib Attendant,25%,213,801,0.265917603,Communication & PR
Toolmaker,25%,213,794,0.2682619647,Data & IT
Utility Worker,25%,235,840,0.2797619048,Administrative & Clerical
Welding Inspector,25%,232,807,0.2874845105,Leadership & Strategy
Cargo Handler,25%,119,828,0.1437198068,Medical & Healthcare
Director Of Manufacturing,25%,226,1754,0.1288483466,Supply Chain & Logistics
Electrical Inspector,25%,176,1325,0.1328301887,Law Enforcement
Factory Worker,25%,182,1461,0.1245722108,Construction
Manufacturing Operations Manager,25%,258,1853,0.1392336751,Sales & Marketing
Manufacturing Planner,25%,285,1972,0.1445233266,Hospitality
Packaging Designer,25%,781,2946,0.2651052274,Communication & PR
Press Brake Operator,25%,255,939,0.2715654952,Data & IT
Production Scheduler,25%,520,1552,0.3350515464,Administrative & Clerical
Sewing Machine Operator,25%,210,758,0.2770448549,Leadership & Strategy
Storage Manager,25%,499,1415,0.3526501767,Medical & Healthcare
Hospital Receptionist,25%,254,1641,0.1547836685,Supply Chain & Logistics
Medical Officer,25%,434,1365,0.3179487179,Law Enforcement
Mental Health Case Manager,25%,614,1703,0.3605402231,Construction
Patient Care Associate,25%,398,1203,0.3308395677,Sales & Marketing
Pharmacy Analyst,25%,508,1517,0.3348714568,Hospitality
Assistant Community Manager,25%,292,1791,0.1630374093,Communication & PR
Campaign Coordinator,25%,274,1710,0.1602339181,Data & IT
Public Information Officer,25%,795,2071,0.3838725254,Administrative & Clerical
Social Services Specialist,25%,615,1771,0.3472614342,Leadership & Strategy
Director Of Logistics,25%,245,1644,0.149026764,Medical & Healthcare
Director Of Purchasing,25%,222,1482,0.1497975709,Supply Chain & Logistics
Receiving Manager,25%,579,1629,0.3554327808,Law Enforcement
Shipping Manager,25%,642,1722,0.3728222997,Construction
Supply Chain Consultant,25%,714,1970,0.3624365482,Sales & Marketing
Supply Manager,25%,643,1800,0.3572222222,Hospitality
Fitness Consultant,25%,257,1864,0.1378755365,Communication & PR
Fitness Director,25%,253,1854,0.1364617044,Data & IT
Fitness Manager,25%,255,1855,0.1374663073,Administrative & Clerical
Personal Fitness Trainer,25%,403,1149,0.3507397737,Leadership & Strategy
Sports Director,25%,672,1656,0.4057971014,Medical & Healthcare
Studio Assistant,25%,718,1857,0.3866451265,Supply Chain & Logistics
Trainer,25%,774,1971,0.3926940639,Law Enforcement
Wellness Consultant,25%,471,1443,0.3264033264,Construction
Wellness Coordinator,25%,449,1517,0.2959789057,Sales & Marketing
Wellness Nurse,25%,348,1027,0.3388510224,Hospitality
Box Office Manager,25%,179,1350,0.1325925926,Communication & PR
Development Assistant,25%,238,1584,0.1502525253,Data & IT
Executive Creative Director,25%,368,2299,0.1600695955,Administrative & Clerical
Line Producer,25%,334,2201,0.1517492049,Leadership & Strategy
Media Consultant,25%,843,2278,0.3700614574,Medical & Healthcare
Media Producer,25%,793,2650,0.299245283,Supply Chain & Logistics
Media Relations Manager,25%,831,2391,0.347553325,Law Enforcement
Medical Editor,25%,838,2421,0.3461379595,Construction
Medical Writer,25%,833,2432,0.3425164474,Sales & Marketing
Public Relations Director,25%,807,2317,0.3482952093,Hospitality
Publisher,25%,808,2321,0.3481258078,Communication & PR
Segment Producer,25%,906,2715,0.3337016575,Data & IT
Television Producer,25%,910,2709,0.3359173127,Administrative & Clerical
Video Producer,25%,945,2922,0.3234086242,Leadership & Strategy
Writing Assistant,25%,820,2801,0.2927525884,Medical & Healthcare
Director Of Quality,25%,223,1650,0.1351515152,Supply Chain & Logistics
Qa Director,25%,755,2434,0.3101889893,Law Enforcement
Qa Manager,25%,779,2477,0.3144933387,Construction
Qa Specialist,25%,786,2543,0.3090837593,Sales & Marketing
Qa Supervisor,25%,740,2437,0.3036520312,Hospitality
Quality Analyst,25%,760,2449,0.3103307472,Communication & PR
Quality Assurance Analyst,25%,783,2547,0.3074204947,Data & IT
Quality Assurance Specialist,25%,772,2533,0.3047769443,Administrative & Clerical
Quality Control Analyst,25%,728,2499,0.2913165266,Leadership & Strategy
Quality Control Inspector,25%,625,2141,0.2919196637,Medical & Healthcare
Quality Control Specialist,25%,708,2467,0.2869882448,Supply Chain & Logistics
Quality Inspector,25%,457,1684,0.2713776722,Law Enforcement
Usability Engineer,25%,915,2369,0.3862389194,Construction
Admissions Assistant,25%,256,1782,0.1436588103,Sales & Marketing
Aide,25%,212,1608,0.131840796,Hospitality
Assistant Teacher,25%,232,1554,0.1492921493,Communication & PR
Classroom Assistant,25%,227,1580,0.1436708861,Data & IT
Clinical Instructor,25%,182,1313,0.1386138614,Administrative & Clerical
Computer Science Teacher,25%,208,1526,0.1363040629,Leadership & Strategy
Custodial Supervisor,25%,171,1327,0.128862095,Medical & Healthcare
Driving Instructor,25%,126,881,0.1430192963,Supply Chain & Logistics
Economics Teacher,25%,219,1597,0.1371321227,Law Enforcement
Educational Assistant,25%,232,1561,0.1486226778,Construction
Graduate Assistant,25%,264,1907,0.1384373361,Sales & Marketing
Instructional Coordinator,25%,301,2036,0.1478388998,Hospitality
Library Director,25%,281,1861,0.1509940892,Communication & PR
Online Teacher,25%,604,1794,0.3366778149,Data & IT
Online Tutor,25%,586,1757,0.3335230507,Administrative & Clerical
Para Educator,25%,442,1289,0.342901474,Leadership & Strategy
Sign Language Interpreter,25%,288,895,0.3217877095,Medical & Healthcare
Special Education Coordinator,25%,429,1280,0.33515625,Supply Chain & Logistics
Superintendent,25%,333,1035,0.3217391304,Law Enforcement
Conservator,25%,115,1029,0.1117589893,Construction
Director Of Photography,25%,192,1595,0.1203761755,Sales & Marketing
Event Designer,25%,386,2432,0.1587171053,Hospitality
Multimedia Artist,25%,754,2769,0.2723004695,Communication & PR
Multimedia Designer,25%,784,2900,0.2703448276,Data & IT
Photography Assistant,25%,600,2154,0.278551532,Administrative & Clerical
Production Artist,25%,748,2900,0.2579310345,Leadership & Strategy
Real Estate Photographer,25%,567,2010,0.2820895522,Medical & Healthcare
Sound Designer,25%,814,2667,0.3052118485,Supply Chain & Logistics
Sound Engineer,25%,798,2599,0.3070411697,Law Enforcement
Studio Engineer,25%,789,2589,0.3047508691,Construction
Video Production,25%,902,2865,0.3148342059,Sales & Marketing
Central Service Technician,25%,149,1171,0.1272416738,Hospitality
Clinical Dietitian,25%,183,1330,0.137593985,Communication & PR
Dental Assistant,25%,133,999,0.1331331331,Data & IT
Dental Hygienist,25%,134,996,0.1345381526,Administrative & Clerical
Dialysis Rn,25%,155,1177,0.1316907392,Leadership & Strategy
Dietitian,25%,174,1299,0.1339491917,Medical & Healthcare
Discharge Planner,25%,239,1530,0.1562091503,Supply Chain & Logistics
Environmental Health Specialist,25%,256,1832,0.1397379913,Law Enforcement
Health Technician,25%,230,1743,0.131956397,Construction
Hospital Technician,25%,206,1577,0.1306277743,Sales & Marketing
Hygienist,25%,178,1172,0.1518771331,Hospitality
Intervention Specialist,25%,248,1844,0.1344902386,Communication & PR
Lead Medical Assistant,25%,196,1543,0.1270252754,Data & IT
Lead Pharmacy Technician,25%,194,1534,0.1264667536,Administrative & Clerical
Marine Engineer,25%,220,1668,0.1318944844,Leadership & Strategy
Materials Engineer,25%,445,1345,0.3308550186,Medical & Healthcare
Mechanical Project Engineer,25%,463,1361,0.340191036,Supply Chain & Logistics
Packaging Engineer,25%,518,1750,0.296,Law Enforcement
Performance Engineer,25%,479,1384,0.3460982659,Construction
Product Development Engineer,25%,497,1399,0.3552537527,Sales & Marketing
Reliability Engineer,25%,460,1373,0.3350327749,Hospitality
Senior Process Engineer,25%,482,1417,0.3401552576,Communication & PR
Senior Project Engineer,25%,483,1415,0.3413427562,Data & IT
Senior Structural Engineer,25%,476,1400,0.34,Administrative & Clerical
Shift Engineer,25%,339,1086,0.3121546961,Leadership & Strategy
Video Engineer,25%,711,2095,0.3393794749,Medical & Healthcare
Welding Supervisor,25%,234,821,0.2850182704,Supply Chain & Logistics
Account Representative,25%,211,1581,0.1334598355,Law Enforcement
Area Supervisor,25%,217,1508,0.1438992042,Construction
Assistant Facility Manager,25%,231,1547,0.149321267,Sales & Marketing
Business Support,25%,269,1795,0.1498607242,Hospitality
Counter Manager,25%,170,1337,0.1271503366,Communication & PR
Facilitator,25%,287,2002,0.1433566434,Data & IT
Facilities Management,25%,261,1856,0.140625,Administrative & Clerical
Master Scheduler,25%,491,1471,0.3337865398,Leadership & Strategy
Office Support,25%,615,1612,0.3815136476,Medical & Healthcare
Program Officer,25%,722,1874,0.3852721451,Supply Chain & Logistics
Program Specialist,25%,737,1916,0.3846555324,Law Enforcement
Recovery Specialist,25%,569,1670,0.3407185629,Construction
Retention Specialist,25%,551,1584,0.3478535354,Sales & Marketing
Senior Administrative Assistant,25%,546,1705,0.3202346041,Hospitality
Study Coordinator,25%,588,1705,0.3448680352,Communication & PR
Team Coordinator,25%,598,1775,0.3369014085,Data & IT
Freight Associate,25%,214,1722,0.1242740999,Administrative & Clerical
Freight Coordinator,25%,246,1828,0.1345733042,Leadership & Strategy
Loader,25%,108,908,0.1189427313,Medical & Healthcare
Mover,25%,165,625,0.264,Supply Chain & Logistics
Parts Runner,25%,205,681,0.3010279001,Law Enforcement
Transportation Inspector,25%,257,921,0.2790445168,Construction
Banquet Chef,25%,131,1071,0.1223155929,Sales & Marketing
Beverage Manager,25%,166,1278,0.1298904538,Hospitality
Casino,25%,145,1133,0.1279788173,Communication & PR
Casino Host,25%,183,1397,0.1309949893,Data & IT
Catering Chef,25%,137,1079,0.1269694161,Administrative & Clerical
Chef De Cuisine,25%,132,1016,0.1299212598,Leadership & Strategy
Chef De Partie,25%,134,1050,0.1276190476,Medical & Healthcare
Crew Chief,25%,109,879,0.1240045506,Supply Chain & Logistics
Dining Room Manager,25%,175,1342,0.1304023845,Law Enforcement
Executive Housekeeper,25%,201,1261,0.1593973037,Construction
Food Prep,25%,129,1314,0.09817351598,Sales & Marketing
Food Service Supervisor,25%,195,1337,0.1458489155,Hospitality
Food Service Worker,25%,154,1144,0.1346153846,Communication & PR
Food Worker,25%,109,864,0.1261574074,Data & IT
Houseperson,25%,92,844,0.1090047393,Administrative & Clerical
Kitchen Assistant,25%,95,1082,0.08780036969,Leadership & Strategy
Kitchen Staff,25%,96,792,0.1212121212,Medical & Healthcare
Kitchen Steward,25%,92,725,0.1268965517,Supply Chain & Logistics
Warehouse Technician,25%,390,1182,0.3299492386,Law Enforcement
Environmental Consultant,25%,229,1840,0.1244565217,Construction
Organizational Development Consultant,25%,741,2138,0.346585594,Sales & Marketing
Service Consultant,25%,601,1719,0.3496218732,Hospitality
Call Center Agent,25%,296,1897,0.1560358461,Communication & PR
Call Center Operator,25%,296,1897,0.1560358461,Data & IT
Collections Agent,25%,265,1744,0.1519495413,Administrative & Clerical
Customer Support Manager,25%,281,1747,0.1608471666,Leadership & Strategy
Customer Support Representative,25%,313,1911,0.1637885924,Medical & Healthcare
Solutions Engineer,25%,904,2370,0.3814345992,Supply Chain & Logistics
Advertising Sales,25%,240,1570,0.152866242,Law Enforcement
Commercial Manager,25%,264,1735,0.1521613833,Construction
Community Manager,25%,335,1928,0.1737551867,Sales & Marketing
Digital Producer,25%,373,2471,0.150951032,Hospitality
Lead Generator,25%,479,2883,0.1661463753,Communication & PR
Marketing Associate,25%,586,3251,0.1802522301,Data & IT
Marketing Communications,25%,581,3233,0.1797092484,Administrative & Clerical
Marketing Communications Manager,25%,578,3227,0.1791137279,Leadership & Strategy
Marketing Communications Specialist,25%,586,3251,0.1802522301,Medical & Healthcare
Marketing Engineer,25%,590,3260,0.1809815951,Supply Chain & Logistics
Media Director,25%,770,2159,0.3566465956,Law Enforcement
Media Planner,25%,813,2673,0.3041526375,Construction
Print Production Manager,25%,701,2336,0.3000856164,Sales & Marketing
Social Media Director,25%,1009,3039,0.3320171109,Hospitality
Wedding Planner,25%,787,2506,0.3140462889,Communication & PR
Product Coordinator,25%,749,2026,0.3696939783,Data & IT
Project Assistant,25%,817,2252,0.3627886323,Administrative & Clerical
Bakery Clerk,25%,138,1207,0.1143330572,Leadership & Strategy
Bench Jeweler,25%,95,766,0.1240208877,Medical & Healthcare
Grocery Stocker,25%,147,1023,0.1436950147,Supply Chain & Logistics
Merchandiser,25%,658,1759,0.3740761796,Law Enforcement
Retail Consultant,25%,655,1808,0.3622787611,Construction
Retail Merchandiser,25%,604,1578,0.3827629911,Sales & Marketing
Retail Sales,25%,572,1448,0.3950276243,Hospitality
Retail Sales Associate,25%,561,1422,0.3945147679,Communication & PR
Retail Sales Manager,25%,649,1685,0.3851632047,Data & IT
Retail Salesperson,25%,558,1409,0.39602555,Administrative & Clerical
Retail Specialist,25%,586,1618,0.3621755253,Leadership & Strategy
Sales Merchandiser,25%,591,1562,0.3783610755,Medical & Healthcare
Stocker,25%,285,1041,0.2737752161,Supply Chain & Logistics
Visual Merchandising Manager,25%,760,2277,0.3337725077,Law Enforcement
Boilermaker,25%,59,495,0.1191919192,Construction
Construction Consultant,25%,206,1450,0.1420689655,Sales & Marketing
Elevator Mechanic,25%,58,490,0.1183673469,Hospitality
Home Builder,25%,199,1646,0.1208991495,Communication & PR
Pipe Fitter,25%,232,879,0.2639362912,Data & IT
Insurance Verification Specialist,25%,292,2021,0.1444829292,Administrative & Clerical
Lead Engineer,25%,291,1884,0.1544585987,Leadership & Strategy
Lead Software Engineer,25%,287,1861,0.1542181623,Medical & Healthcare
Python Developer,25%,541,1469,0.36827774,Supply Chain & Logistics
Senior Software Developer,25%,952,2436,0.3908045977,Law Enforcement
Senior Software Engineer,25%,950,2434,0.3903040263,Construction
Software Developer,25%,946,2429,0.3894606834,Sales & Marketing
Web Architect,25%,1067,2752,0.3877180233,Hospitality
Business Intelligence Manager,25%,235,1554,0.1512226512,Communication & PR
Business Process Analyst,25%,261,2008,0.1299800797,Data & IT
Erp Consultant,25%,270,1842,0.1465798046,Administrative & Clerical
Microstrategy Developer,25%,533,1457,0.3658201784,Leadership & Strategy
Research Manager,25%,994,2806,0.3542409123,Medical & Healthcare
Researcher,25%,1028,2939,0.3497788363,Supply Chain & Logistics
Senior Analyst,25%,809,2272,0.3560739437,Law Enforcement
Server Administrator,25%,884,2331,0.3792363792,Construction
3D Designer,25%,272,1956,0.1390593047,Sales & Marketing
Junior Designer,25%,390,2388,0.1633165829,Hospitality
Senior Designer,25%,907,2523,0.3594926675,Communication & PR
Benefits Specialist,25%,217,1444,0.1502770083,Data & IT
Driver Recruiter,25%,175,1148,0.1524390244,Administrative & Clerical
Hr Generalist,25%,368,2189,0.1681132937,Leadership & Strategy
Human Resources Business Partner,25%,366,2234,0.163831692,Medical & Healthcare
Human Resources Executive,25%,355,2093,0.1696129957,Supply Chain & Logistics
Human Resources Generalist,25%,371,2244,0.1653297683,Law Enforcement
Medical Recruiter,25%,800,2214,0.3613369467,Construction
Payroll Manager,25%,688,2069,0.3325277912,Sales & Marketing
Workforce Manager,25%,617,1757,0.3511667615,Hospitality
Digital Court Reporter,25%,200,1330,0.1503759398,Communication & PR
Legal Administrator,25%,285,1844,0.1545553145,Data & IT
Legal Clerk,25%,275,1582,0.1738305942,Administrative & Clerical
Legal Editor,25%,347,2167,0.1601292109,Leadership & Strategy
Legal Officer,25%,295,1961,0.1504334523,Medical & Healthcare
